sku,name,description,image,originalPrice,salePrice,priceCurrency,fullUrl,siteName,siteDomain
1000,The Truth About Predictive Marketing Automation: A Complete Guide to Strategy & Execution,,https://demobookshop.leocdp.com/wp-content/uploads/2020/09/The-Truth-About-Predictive-Marketing-Automation-324x324.jpg,19.95,19.95,USD,https://demobookshop.leocdp.com/product/the-truth-about-predictive-marketing-automation-a-complete-guide-to-strategy-execution/,Bookshop - Ecommerce Demo,demobookshop.leocdp.com
2000,Artificial Intelligence Basics: A Non-Technical Introduction,,https://demobookshop.leocdp.com/wp-content/uploads/2020/09/Artificial-Intelligence-Basics-A-Non-Technical-Introduction-324x324.jpg,34.99,22.99,USD,https://demobookshop.leocdp.com/product/the-truth-about-predictive-marketing-automation-a-complete-guide-to-strategy-execution/,Bookshop - Ecommerce Demo,demobookshop.leocdp.com
3000,Storytelling with Data,,https://demobookshop.leocdp.com/wp-content/uploads/2020/09/Storytelling-with-Data-324x324.jpg,27.00,27.00,USD,https://demobookshop.leocdp.com/product/the-truth-about-predictive-marketing-automation-a-complete-guide-to-strategy-execution/,Bookshop - Ecommerce Demo,demobookshop.leocdp.com
4000,Smart Cities: Introducing Digital Innovation to Cities,,https://demobookshop.leocdp.com/wp-content/uploads/2020/09/61nPOhbc1JL-324x324.jpg,26.00,26.00,USD,https://demobookshop.leocdp.com/product/the-truth-about-predictive-marketing-automation-a-complete-guide-to-strategy-execution/,Bookshop - Ecommerce Demo,demobookshop.leocdp.com
5000,"Introducing Data Science: Big Data, Machine Learning, and more, using Python tools",,https://demobookshop.leocdp.com/wp-content/uploads/2020/09/Introducing-Data-Science-Big-Data-Machine-Learning-and-more-using-Python-tools--324x324.jpg,28.24,28.24,USD,https://demobookshop.leocdp.com/product/the-truth-about-predictive-marketing-automation-a-complete-guide-to-strategy-execution/,Bookshop - Ecommerce Demo,demobookshop.leocdp.com
6000,The Visual MBA: A Quick Guide to Everything You’ll Learn in Two Years of Business School,,https://demobookshop.leocdp.com/wp-content/uploads/2020/09/The-Visual-MBA-A-Quick-Guide-to-Everything-You%E2%80%99ll-Learn-in-Two-Years-of-Business-School-324x324.jpg,20.79,20.79,USD,https://demobookshop.leocdp.com/product/the-truth-about-predictive-marketing-automation-a-complete-guide-to-strategy-execution/,Bookshop - Ecommerce Demo,demobookshop.leocdp.com
7000,"Sell Local, Think Global: 50 Innovative Ways to Make a Chunk of Change and Grow Your Business",,https://demobookshop.leocdp.com/wp-content/uploads/2020/09/51BdZQ0rQ5L._SX331_BO1204203200_-324x324.jpg,15.99,15.99,USD,https://demobookshop.leocdp.com/product/the-truth-about-predictive-marketing-automation-a-complete-guide-to-strategy-execution/,Bookshop - Ecommerce Demo,demobookshop.leocdp.com
8000,The Social CEO: How Social Media Can Make You A Stronger Leader,,https://demobookshop.leocdp.com/wp-content/uploads/2020/09/41abBXrOAL-324x324.jpg,28.00,19.69,USD,https://demobookshop.leocdp.com/product/the-truth-about-predictive-marketing-automation-a-complete-guide-to-strategy-execution/,Bookshop - Ecommerce Demo,demobookshop.leocdp.com
9000,Information Rules: A Strategic Guide to the Network Economy,,https://demobookshop.leocdp.com/wp-content/uploads/2020/09/41184IZMFqL._SX327_BO1204203200_-324x324.jpg,40.00,25.11,USD,https://demobookshop.leocdp.com/product/the-truth-about-predictive-marketing-automation-a-complete-guide-to-strategy-execution/,Bookshop - Ecommerce Demo,demobookshop.leocdp.com
10000,Inventing Future Cities (The MIT Press),,https://demobookshop.leocdp.com/wp-content/uploads/2020/09/inventing-future-cities-324x324.jpeg,12.36,12.36,USD,https://demobookshop.leocdp.com/product/the-truth-about-predictive-marketing-automation-a-complete-guide-to-strategy-execution/,Bookshop - Ecommerce Demo,demobookshop.leocdp.com
11000,"The Art of Digital Marketing: The Definitive Guide to Creating Strategic, Targeted, and Measurable Online Campaigns",,https://demobookshop.leocdp.com/wp-content/uploads/2020/09/51ZYPWnx2LL._SX346_BO1204203200_-324x324.jpg,50.00,27.50,USD,https://demobookshop.leocdp.com/product/the-truth-about-predictive-marketing-automation-a-complete-guide-to-strategy-execution/,Bookshop - Ecommerce Demo,demobookshop.leocdp.com
12000,Inbound Marketing For Dummies,,https://demobookshop.leocdp.com/wp-content/uploads/2020/09/Inbound-Marketing-For-Dummies--324x324.jpg,26.99,21.51,USD,https://demobookshop.leocdp.com/product/the-truth-about-predictive-marketing-automation-a-complete-guide-to-strategy-execution/,Bookshop - Ecommerce Demo,demobookshop.leocdp.com
